TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
1.378914,333662,191440.5,362919.9,1114.775,157.739,616.7996
1.380926,476261.3,226440.5,576611.2,518.1335,364.258,419.6149
1.383006,390463.1,187400.6,591850.8,705.8513,677.583,732.6597
1.392503,579893.5,246867,790051.8,689.5864,376.7627,198.9543
1.398011,307695.5,176281.3,323968.7,580.5832,395.269,400.7251
1.411589,298101.8,146852.2,463182.7,2260.37,1262.325,3252.163
1.411909,511407.9,216149.9,799637.8,802.8806,240.8332,296.3375
1.412183,260577.6,126105.3,452100.8,2655.963,7578.873,15335.17
1.416617,399376.6,230631.5,599421.5,531.8916,67.00625,187.0984
1.417406,442052,322353.9,333328.1,430.8219,199.087,188.2634
1.431143,551612.4,241547,570913.1,547.611,1331.395,1158.807
1.436731,257170.1,124437.6,460062.6,869.7099,767.8291,883.0994
1.448354,432000.1,210707.8,581362.2,822.257,652.028,680.5617
1.44952,237666.1,147420,399387.1,1970.58,630.8821,825.4716
1.461223,462268.6,228633.4,520875.7,668.116,283.6854,736.9803
1.464663,429970.1,202821.9,583221.1,711.1599,481.8729,442.9579
1.465029,316246.4,174050.2,362713.7,500.7184,216.4432,234.6841
1.473646,347673.1,138899,406975.8,3254.655,16801.17,16428.52
1.474743,414639.7,173994.2,519554.6,617.3895,355.4988,432.9158
1.478857,378343.8,197694.6,469549.8,369.891,128.35,230.3487
1.478857,453325.1,215085.9,679260.7,1027.183,845.4231,1204.505
1.483429,383879.7,199581.8,349031,524.2531,160.1131,229.9948
1.483851,636688.6,272120.8,831885.4,3809.005,3194.063,10205
1.492983,312925.2,169130.1,375920.5,1119.464,3395.745,6575.209
1.499371,404798.2,261064.2,460395.2,2133.612,1352.718,3610.331
1.509474,519507.6,235716.3,749407.6,1569.589,675.7103,280.3232
1.533177,466512.4,221290.7,657560.9,5538.751,2606.136,7123.809
1.541669,262428.3,164431.7,274418.4,427.1354,204.4988,187.8947
1.55016,340520.8,223556.5,236898.7,100.5536,277.433,159.8772
1.560754,338766.2,216334.7,238388.6,169.3147,191.7287,149.7171
1.565554,408889.8,244724.5,455330.1,1177.903,1067.676,2922.101
1.57336,410795.6,258533,540296.9,829.1287,618.7461,465.6964
1.578309,369775,220687,427207.2,301.8673,235.6573,253.0282
1.579109,316260.1,146274.2,490169.5,7369.36,12638.23,25417.18
1.587406,554192.6,271740,562373.2,447.7504,236.5421,341.1509
1.590149,304481.4,182201.6,544493.9,4835.643,8483.133,10839.28
1.592571,377553.9,182859,464268.4,390.0194,278.8339,133.4964
1.612686,372628.1,221076.8,295434.5,619.6161,722.072,1817.5
1.613029,367386,200641.3,356471.3,778.1367,1446.415,1304.189
1.61312,449304.7,258358.2,403168.4,374.9637,93.59346,256.582
1.613497,587227.2,255962.6,636093.4,533.0861,453.3687,384.5929
1.616549,298207.7,175632.8,358215.3,407.4346,202.1984,487.9482
1.62472,450455.8,258984.3,363226.1,408.1719,178.5162,202.7588
1.628663,419856.4,209817.4,530750.3,494.6135,393.7355,482.5807
1.629394,275980.7,150451.8,519266.8,4687.179,4405.469,5526.364
1.630011,369449.5,187306.6,619443.4,5689.028,6512.244,7320.61
1.644709,512668.3,233205.3,656356.1,1253.639,826.9167,1663.536
1.645394,646561.8,341964,686269.6,655.9357,212.9483,353.8325
1.645863,666821.7,343761.6,687203.4,590.5073,140.3533,167.6926
1.655589,346543.6,178184.2,535494.9,2754.585,861.6585,2065.205
1.661429,326819.1,163583.8,388227.5,4271.103,832.3875,1631.065
1.664217,370348,178006.1,450772.8,630.0121,84.92275,194.442
1.664606,551275.6,265328,482284.7,460.8597,105.1249,432.5324
1.672411,596776.8,293739,694135.8,8995.914,6642.747,7125.534
1.673097,585900.2,332556,572788.2,642.8854,190.5195,411.9469
1.674194,518720.3,283404.8,537616.8,1839.855,1890.302,2800.799
1.675691,377402.5,168143.4,500336.6,4372.04,2316.729,5330.477
1.68064,537598.3,296509.9,503183.8,2508.665,2001.266,6601.826
1.685566,459172.7,247470.7,366218.3,7642.532,1545.479,22450.9
1.688217,585112.4,296260.2,467329.7,3038.197,1461.338,5563.215
1.690491,385385.8,176790.9,526485.9,483.259,505.6583,571.8388
1.697337,464437.6,244772.6,691178.1,665.7124,727.587,672.6431
1.700994,722554.9,399081.8,683758.3,746.9634,847.5317,377.7654
1.710926,436022.2,219773.1,414749.2,2334.248,1628.559,2635.717
1.716274,371735.3,208127.4,391679.3,5556.048,5104.611,7073.097
1.724503,556948.8,243036.6,721301.2,1953.268,647.1028,3013.261
1.724606,347257.8,177261.3,531514.9,524.666,188.2929,304.7723
1.72512,537796.6,256916.8,543456,2453.352,670.6966,3682.011
1.73088,505032.4,288481.8,500404.2,508.3568,54.64902,185.7123
1.731303,642050.9,301688.8,771838.4,1182.534,1104.055,2003.065
1.736046,459974.6,261940,524911.4,480.1181,1142.395,1120.099
1.736697,556624.6,273402.1,599538.8,4272.813,3156.077,9986.748
1.739303,539571.4,237186.9,638740.8,3578.243,3831.168,7143.229
1.744251,322428.2,147852.3,437145.8,413.3478,500.9396,146.414
1.746434,458180.9,239865.9,338157.1,578.8874,148.095,495.9406
1.752423,438424.3,211326.1,480838.5,529.2078,413.6869,194.6337
1.7532,268205.5,181658.4,213293.4,130.9158,77.53497,72.22637
1.7588,469759.6,221417.3,483000,294.3173,7289.378,6468.89
1.776023,704869.3,311513.4,666645.2,245.1243,228.0631,406.6678
1.7792,389433.7,201762.4,524665.8,12629.14,9450.639,13816.63
1.782274,440196.5,249471,403670.8,401.2707,608.3501,1598.698
1.78232,345756.6,185403.7,431275.8,316.3332,342.3306,194.9286
1.789771,665648.8,356219.4,581521.6,239.0932,76.53223,218.6993
1.793703,371912,176708,489701.1,4238.426,3264.343,4283.711
1.810731,391370.7,181258.6,465062.6,1592.49,595.9929,2736.138
1.810891,362956.7,211515.4,447180,919.5369,291.0879,435.7618
1.810891,512349.1,288281.3,501228.6,531.9359,267.9365,356.4868
1.823154,306638.9,151147.4,458367.3,338.1279,236.5716,275.8404
1.82552,358090.7,200678.2,412453.9,2008.787,1672.414,1904.724
1.826354,448317.9,252439,542804.5,1068.649,740.5636,1184.981
1.826434,335937.7,197506.4,274188.1,293.403,244.7409,188.5583
1.832926,476299.7,249588.6,763601.3,9368.149,9780.259,24425.58
1.834891,506016.9,275299.4,647426.9,607.7013,213.7741,254.2227
1.835246,584364.3,256484.5,797599.3,699.481,327.437,264.1173
1.848217,460203.9,247445,440541.4,408.1129,183.7363,188.809
1.852137,312658,202089.4,344930.2,440.2594,228.299,280.7804
1.85528,372539.4,248977.1,291268.9,285.7351,149.9678,110.6842
1.864926,436327.3,241696,477947.3,3708.171,3572.521,5050.67
1.866937,499480.1,207988.5,612687.4,971.7676,363.4027,440.4363
1.877051,462981.4,267239.8,483315.3,764.585,655.3607,684.3073
1.881634,615837.5,278551.8,700369.2,574.4194,280.8246,406.3286
1.899646,385606,253316,446081.5,4699.831,2426.426,3800.187
1.921429,492643.3,266245.3,462848,2654.946,1059.654,2058.201
1.9224,424834.2,192045.3,485272,654.1957,231.7939,478.437
1.923143,508747,270501.3,629371.7,5738.207,4636.216,14879.31
1.92592,518224.3,269705,485626.4,3179.774,1180.204,3410.314
1.931211,477217.6,217471.5,630484.5,405.3406,640.1722,729.7695
1.93208,317646.3,166475.7,350108.8,313.8853,282.8743,307.8394
1.935829,607462.4,285984.2,809870.5,617.6401,262.274,331.9051
1.936514,360252.2,186705.1,381319.1,808.7348,368.9325,1093.954
1.939143,482386.1,238480.5,560396.1,592.0851,245.4782,578.0322
1.940103,341250,168974.4,348536.2,329.3245,306.9399,303.5336
1.942411,534207.9,259286.7,563563.5,1205.803,657.145,3347.304
1.942777,311434.5,182432.3,389672.7,299.8766,152.4009,161.6319
1.94608,305471.9,140741.4,406528.5,1154.295,282.5352,533.5432
1.966183,626458.2,358114.4,825339.1,1029.572,467.23,938.6921
1.973234,670234.4,319107,845296.2,11569,5891.315,15225.05
1.974926,435560.4,243915.8,487672.2,296.4702,242.4848,375.3029
1.980891,490464.5,210758.2,580150.6,7175.523,3425.459,10469.89
1.981314,473240.7,248673.6,469771.3,1204.874,1330.584,2171.569
1.992571,572829.1,256389.3,733542.3,479.5577,322.7478,449.0186
2.002411,524513.9,250125.1,620106.8,1313.597,924.6391,2871.389
2.002411,465373.7,209974.2,841277.8,3802.501,5324.903,8348.958
2.004263,399185.7,240035,458561.8,11927.25,8834.237,9323.542
2.010457,315601.8,185940.2,389576.2,2330.797,3471.275,8816.719
2.013543,481676.9,290439.5,487756.4,451.4664,155.7777,214.8506
2.030206,437085.2,232340.6,658263,9158.283,6976.2,19872.25
2.033269,450712.7,232745,612797.2,481.6517,489.9242,611.7122
2.042297,402423.3,245077.3,314690.3,202.3901,223.4476,272.1244
2.056331,409100.5,182061.6,570085.2,606.2119,269.1605,665.1373
2.059154,334593.7,169760.6,402227.1,571.072,576.587,812.4803
2.059177,439706,211325,626144.8,1038.317,943.3813,892.7728
2.061337,647360.7,302332.8,524233.7,490.9565,274.0709,737.8798
2.071737,408170.8,218114.4,367232.1,1525.498,872.202,4122.787
2.082206,555627.5,291269.4,538796,398.6312,203.2454,234.3744
2.095669,405348.3,205851.5,465401.7,6949.819,4352.958,15423.49
2.099954,509980.9,221550.6,675022.9,579.4183,598.1901,811.4038
2.104354,392001.3,195769.3,549650.2,578.3123,148.4932,356.9587
2.104971,402946.8,217072.8,356045.2,388.8693,250.6394,272.906
2.105611,437063.4,204394.4,571487.9,274.6755,160.4375,314.5342
2.105611,468245,219299.4,623680.1,1140.817,593.5745,987.2952
2.117314,334022.4,205000.3,297014.4,322.5708,211.8129,204.7643
2.123909,516958.8,292803.8,556300.3,1135.449,596.7007,813.5862
2.127234,534608.1,298280.7,421566.8,1764.916,1323.432,1981.344
2.136949,388001.1,188499.4,603744.4,2922.145,5285.561,12173.17
2.137006,458173.6,198980.3,470800.7,2454.207,1618.03,5547.599
2.14032,603254,324607.4,648918.5,661.8784,429.4505,293.8307
2.142468,450993.8,289361,415835,619.6899,355.3956,1860.839
2.161006,391601.5,217207.2,375141,412.3303,137.8907,87.38535
2.162583,362175.9,185496.6,513509,943.6616,313.2218,349.9395
2.166297,515598.7,269155,455948.6,5039.699,2439.402,4271.914
2.175029,450311.3,237960.8,339634.8,334.6479,144.7182,142.9486
2.179691,568118.3,286496,525661.5,240.5383,217.8146,157.739
2.184366,358453.3,143007.2,577927.9,572.5613,224.4061,217.7261
2.185829,455313.5,219814.6,723117.1,414.9109,376.9102,422.2102
2.186354,353209.9,195244,412488.4,4733.01,2628.801,4207.444
2.190171,323627.4,154583.5,612722.3,4413.491,2506.158,2533.054
2.198583,468923.7,221435.2,536598.9,391.73,292.1201,477.1689
2.212651,545345.1,279832,600080.2,5498.656,4149.551,17704.41
2.214343,407342.8,181042.4,508248,285.2337,94.87637,199.9276
2.216183,651597.6,306999.8,562464.2,818.9243,1317.401,1981.728
2.217611,301972.3,165213.4,461326.3,3498.363,2085.053,9994.032
2.222629,274000.8,154931.8,357335.2,221.7665,193.9111,272.5373
2.23768,334915,171437.3,439114.2,1383.139,167.6483,443.533
2.23904,588191.9,298626.7,603662.7,678.0549,222.2679,632.0323
2.251508,547409,305346.7,493159.7,649.5802,260.6667,804.2372
