TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
8.018217,350185.3,184409.1,398673.8,369.7141,308.1639,156.6772
8.02664,250202.6,142564.8,318147.1,225.6447,604.1032,410.9736
8.030891,407403.9,228309.8,374042.6,396.6847,466.8318,506.8675
8.060503,296047.8,157901,490774.4,554.8365,557.4171,353.9358
8.065211,432472.1,220337.6,358018.8,289.8345,568.9338,506.3366
8.072971,454131.8,238814.2,543894,625.1901,307.6478,159.8919
8.077143,236063.6,103772.5,321145.6,464.3398,466.6107,777.1339
8.08544,290477.8,168425.6,262201.8,344.9701,308.9897,387.085
8.109063,257129.4,160740.2,340138,498.8014,524.1204,520.7731
8.111932,416824.4,177180.6,694903.1,642.8854,343.1859,771.9875
8.116331,438824.3,202781.6,500872.7,557.3286,805.0925,846.3963
8.11928,279280.3,131491.4,447239.7,551.4744,599.237,637.0165
8.119417,315829.1,136948,684586.7,557.2106,836.251,797.6752
8.169943,472259.1,222260.6,678622.2,667.0396,1042.165,444.4768
8.178675,494970.5,229046.7,548961.7,403.9692,442.5745,715.7017
8.188194,415550.5,192765.4,594053.6,662.4683,636.4267,637.975
8.225943,278707.1,139295.5,487692.3,289.0972,434.6411,333.8221
8.228926,350477.4,169230.9,373008.1,367.5906,579.8312,219.6136
8.236034,253308.6,109299.7,436746.5,455.3594,615.7379,582.8688
8.237566,318575.5,165793.6,449542.3,307.3086,830.1461,487.4616
8.258331,443232.3,229771.4,355690.1,536.8758,1027.862,789.6976
8.287806,286074.9,167369.4,406650.6,338.821,359.5835,315.5074
8.291075,349360.1,126776.2,678627.2,632.2093,2104.74,1196.38
8.293942,212379.5,115416,413416.7,527.0107,385.5219,452.3512
8.294926,344514.8,143537,554043.8,755.0443,581.645,392.1429
8.325954,235359.6,118155.5,341826.1,387.7191,496.6484,390.3734
8.347795,338455.2,161407.7,392305.8,313.7527,233.239,371.3066
8.359451,406103.8,184465.1,642136.8,961.3126,895.5598,1137.971
8.375417,389342,170857.1,412454.7,400.0468,767.2098,576.8229
8.385589,350990,171338.7,451251.3,582.0726,282.6089,441.1147
8.388492,270565.7,120522.1,539490.1,384.8141,690.7218,491.4136
8.389189,358894.8,143208.8,445245.6,563.522,446.4822,516.4525
8.403451,348827.6,203284.5,537153.5,545.1188,586.5259,394.9004
8.405554,326602.8,140583.5,413204.6,393.2783,577.9731,550.8256
8.40952,279159.1,153847.7,354074.7,298.8001,372.1914,532.216
8.422995,206361.3,90712.16,380293,566.5449,404.102,385.0058
8.44456,213251.6,108208.8,470960.8,426.0589,399.0883,521.1564
8.448857,380784.9,167989.9,528828.8,492.8587,278.8192,464.207
8.449543,436203.6,201754.6,423369.3,406.4761,251.3619,233.9763
8.450149,349388.7,179079,557861.9,658.8555,774.5386,833.3903
8.458937,348695.6,174279.8,543827,579.3298,534.074,765.2633
8.463326,402529.8,186822.7,514095.6,303.8433,492.5638,683.1276
8.467166,358589.2,150344.3,693308.5,756.917,456.3769,735.8154
8.47504,444994.5,220148.3,574249.6,620.1912,872.3494,795.3453
8.491383,377133.3,182706.7,416141.6,415.8841,421.5466,528.4263
8.50384,346171.3,188487,473637.3,616.4899,1114.908,966.3558
8.536925,443467,208565.3,504356.7,458.692,551.7988,267.5826
8.540183,491729.7,227725.1,473097.1,575.5991,1134.727,1021.875
8.56176,344793.1,195657.3,261516.5,509.4186,1147.084,992.5006
8.572675,336883.1,170058.6,479236.2,308.0164,401.1085,304.8607
8.577177,270509.8,173621.3,225338.5,201.6086,510.9227,540.4886
8.60224,241530,134556.8,228474.8,88.57979,752.449,660.7725
8.622,546345.7,215120.6,691614.7,829.1876,605.5483,319.9608
8.653372,398239.5,178103.5,452822.3,446.497,388.014,633.9493
8.658457,659116.5,277043.2,784483.8,716.0703,1085.829,994.4028
8.678503,219336.2,124400.6,369368.4,297.8858,578.1501,363.1815
8.681314,338089.8,207013,307989.8,299.5079,601.4785,501.6031
8.730663,270910.3,136483.2,444857.7,302.9143,481.8876,650.0963
8.733074,310615.2,148221.9,376688.8,432.3555,456.5243,501.0428
8.745257,518436.3,235342.2,474851.3,496.2061,417.9485,603.6166
8.758891,429570.1,179906.7,474216.2,485.7806,712.605,473.1727
8.764434,335044.1,142339.7,471268.3,478.7172,596.0371,557.8595
8.779417,296141.2,138017.6,438332.8,243.2516,394.8119,475.4878
8.791874,336122.2,144465.4,435470.8,506.1892,447.7357,449.0186
8.802445,419442.4,170810.1,566878.3,520.7288,725.8765,669.1188
8.837451,395108.9,200448.6,543245.9,616.8734,652.146,838.3892
8.870389,281893.3,158109.3,299197.2,224.1406,322.3349,392.1871
8.882046,220694.4,108433.9,468086.8,433.6531,676.713,698.4045
8.900171,338187.4,197622.9,617558.1,622.4179,825.1472,781.6757
8.902971,423527.5,221107,473360.3,233.5929,391.2729,390.2554
8.903531,208708.9,122120.3,357228.7,494.7167,779.0067,543.2461
8.904743,200105.4,88126.08,522976.7,579.2856,543.6885,315.9498
8.909417,272768.8,130476.6,433094.1,585.2872,388.1909,440.1709
8.921097,188475.9,102513.6,451815.5,512.2793,902.9329,753.1863
8.92176,285562.9,139604.6,439455.1,619.7194,452.6019,575.3779
8.929189,297556.3,160376.2,349430,478.555,469.3534,394.6055
8.932549,594321.4,249849.6,473180.2,695.9567,418.2582,668.7206
8.946491,331552,188155.5,469651.5,530.4612,758.4506,500.4529
8.948995,262954.3,129716.2,327894.8,314.8734,397.2745,488.3759
8.972629,374396.8,198384.5,465820.9,551.3712,641.0864,759.011
8.978937,367326.9,215638.1,402937.2,306.011,904.4664,641.5731
8.982971,307699.4,186034.2,568866.5,421.001,467.5102,419.0692
8.987703,504540,230715.5,596853,1051.839,588.5903,738.4549
8.995109,419206.4,235707.4,478901.8,427.9464,448.2075,449.4609
